"Rank","Name","Symbol","employees_count","price (INR)","country"
"171","Jay Bharat Maruti","JAYBARMARU.NS","5896","98.07","India"
"172","Jaypee Group","JPASSOCIAT.NS","5893","8.55","India"
"173","Mastek","MASTEK.NS","5810","2709.8","India"
"174","MOIL","MOIL.NS","5789","382.75","India"
"175","BEML","BEML.NS","5573","3791.8","India"
"176","Hatsun Agro Products","HATSUN.NS","5541","1145.25","India"
"177","National Mineral Development Corporation","NMDC.NS","5539","233.68","India"
"178","National Aluminum &amp; Alloy","NATIONALUM.NS","5525","222.92","India"
"179","Kitex Garments","KITEX.NS","5524","522.45","India"
"180","TVS Motor","TVSMOTOR.NS","5459","2794.35","India"
"181","City Union Bank","CUB.NS","5367","153.9","India"
"182","Dabur","DABUR.NS","5319","570.85","India"
"183","Indiabulls Housing Finance","IBULHSGFIN.NS","5318","164.4","India"
"184","Exide Industries","EXIDEIND.NS","5151","530.5","India"
"185","NCC Limited","NCC.NS","5109","298.45","India"
"186","NHPC Limited","NHPC.NS","5092","90.92","India"
"187","Coromandel","COROMANDEL.NS","5064","1638.95","India"
"188","Federal-Mogul Goetze","FMGOETZE.NS","5025","419.05","India"
"189","3i Infotech","3IINFOLTD.NS","5000","30.33","India"
"190","Jagran Prakashan","JAGRAN.NS","4865","92.24","India"
"191","Polycab India","POLYCAB.NS","4843","7446.85","India"
"192","Thermax","THERMAX.NS","4818","5155.25","India"
"193","Info Edge","NAUKRI.NS","4785","8363.3","India"
"194","GAIL","GAIL.NS","4754","229.4","India"
"195","Gland Pharma","GLAND.NS","4752","1698.55","India"
"196","Eicher Motors","EICHERMOT.NS","4739","4728.05","India"
"197","Redington India","REDINGTON.NS","4651","184.3","India"
"198","Supreme Industries","SUPREMEIND.NS","4647","5224.4","India"
"199","CSB Bank","CSBBANK.NS","4632","307.3","India"
"200","Tata Chemicals","TATACHEM.NS","4622","1183.1","India"
"201","CRISIL","CRISIL.NS","4603","4711.85","India"
"202","Happiest Minds Technologies","HAPPSTMNDS.NS","4589","800.75","India"
"203","IndiaMART","INDIAMART.NS","4583","3011.4","India"
"204","MakeMyTrip","MMYT","4576","8490.2293","India"
"205","Lodha Group","LODHA.NS","4560","1169.85","India"
"206","Spencer's Retail","SPENCERS.NS","4505","99.79","India"
"207","Reliance Infrastructure","RELINFRA.NS","4502","284.65","India"
"208","Edelweiss Financial Services","EDELWEISS.NS","4490","127.87","India"
"209","Britannia Industries","BRITANNIA.NS","4467","5978.5","India"
"210","Kajaria Ceramics","KAJARIACER.NS","4380","1408","India"
"211","Bata India","BATAINDIA.NS","4357","1406.1","India"
"212","Sify","SIFY","4319","284.1566","India"
"213","CIE Automotive India","CIEINDIA.NS","4266","541.2","India"
"214","Zomato","ZOMATO.NS","4204","277.55","India"
"215","VIP Industries","VIPIND.NS","4190","547.45","India"
"216","Astral Poly Technik","ASTRAL.NS","4140","1897.45","India"
"217","Dr Lal PathLabs","LALPATHLAB.NS","4099","3505.95","India"
"218","JK Cement","JKCEMENT.NS","4097","4238.75","India"
"219","Bharat Forge","BHARATFORG.NS","4079","1492.35","India"
"220","Natco Pharma","NATCOPHARM.NS","4025","1436.25","India"
"221","Berger Paints","BERGEPAINT.NS","3931","571.55","India"
"222","Force Motors","FORCEMOT.NS","3928","7099.9","India"
"223","Escorts Kubota","ESCORTS.NS","3920","3937.95","India"
"224","TCNS Clothing","TCNSBRANDS.NS","3910","583.3","India"
"225","Shriram Pistons &amp; Rings","SHRIPISTON.NS","3907","2210.3","India"
"226","SBI Card","SBICARD.NS","3907","733.75","India"
"227","Cigniti Technologies","CIGNITITEC.NS","3891","1390.45","India"
"228","ACC","ACC.NS","3852","2312.45","India"
"229","Black Box","BBOX.NS","3800","484.35","India"
"230","Mahanagar Telephone Nigam","MTNL.NS","3749","50.94","India"
"231","Mahindra Logistics","MAHLOG.NS","3740","500.75","India"
"232","Abbott India","ABBOTINDIA.NS","3700","28808.2","India"
"233","Transport Corporation of India","TCI.NS","3687","1037.75","India"
"234","Endurance Technologies","ENDURANCE.NS","3588","2343.35","India"
"235","Ambuja Cements","AMBUJACEM.NS","3548","585.2","India"
"236","Patanjali Foods","PATANJALI.NS","3547","1743.5","India"
"237","Nilkamal","NILKAMAL.NS","3493","1936.25","India"
"238","Hindustan Zinc","HINDZINC.NS","3492","504.15","India"
"239","Balkrishna Industries","BALKRISIND.NS","3472","3023.4","India"
"240","ABB India","ABB.NS","3384","8553.7","India"
"241","Nerolac Paints","KANSAINER.NS","3379","288.75","India"
"242","Surya Roshni","SURYAROSNI.NS","3357","722.15","India"
"243","Ramco Cements","RAMCOCEM.NS","3326","861.55","India"
"244","Siyaram Silk Mills","SIYSIL.NS","3299","526.8","India"
"245","Adani Power","ADANIPOWER.NS","3295","642.3","India"
"246","Tata Steel Long Products","TATASTLLP.NS","3291","829.35","India"
"247","Delta Corp","DELTACORP.NS","3286","124.73","India"
"248","Sterlite Technologies","STLTECH.NS","3286","120.66","India"
"249","Tube Investments of India","TIINDIA.NS","3233","4225.65","India"
"250","Emami","EMAMILTD.NS","3205","730.25","India"
"251","Atul","ATUL.NS","3188","7888.8","India"
"252","Zee Entertainment","ZEEL.NS","3182","130.15","India"
"253","Indus Towers","INDUSTOWER.NS","3163","378.5","India"
"254","Cummins India","CUMMINSIND.NS","3161","3614.15","India"
"255","Adani Ports & SEZ","ADANIPORTS.NS","3129","1408.25","India"
"256","Bombay Burmah","BBTC.NS","3087","2643.85","India"
"257","PI Industries","PIIND.NS","3079","4523.6","India"
"258","Kalpataru Power Transmission","KALPATPOWR.NS","3072","522.85","India"
"259","Tata Consumer Products","TATACONSUM.NS","3040","1113.1","India"
"260","Godrej Properties","GODREJPROP.NS","3015","3014.25","India"
"261","National Fertilizers","NFL.NS","3003","121.76","India"
"262","Honeywell Automation India","HONAUT.NS","2950","50303.6","India"
"263","Huhtamaki India","HUHTAMAKI.NS","2906","400.2","India"
"264","Electrosteel Castings","ELECTCAST.NS","2879","202.3","India"
"265","Schaeffler India","SCHAEFFLER.NS","2871","3898.35","India"
"266","Blue Star","BLUESTARCO.NS","2866","2019.3","India"
"267","Godawari Power &amp; Ispat","GPIL.NS","2851","190.9","India"
"268","United Breweries","UBL.NS","2837","2085.95","India"
"269","Gujarat Fluorochemicals","FLUOROCHEM.NS","2830","4693.85","India"
"270","Hindustan Sanitaryware &amp; Industries","HSIL.NS","2818","316.9439","India"
"271","CG Power and Industrial Solutions","CGPOWER.NS","2771","858.15","India"
"272","Nykaa","NYKAA.NS","2764","192.01","India"
"273","Asahi India Glass","ASAHIINDIA.NS","2734","735.5","India"
"274","Engineers India","ENGINERSIN.NS","2725","200.71","India"
"275","Apex Frozen Foods","APEX.NS","2713","244.23","India"
"276","Whirlpool India","WHIRLPOOL.NS","2668","2367.15","India"
"277","Bharat Dynamics","BDL.NS","2662","1221.95","India"
"278","Bajaj Electricals","BAJAJELEC.NS","2661","900.9","India"
"279","IFB Industries","IFBIND.NS","2653","1799.5","India"
"280","Polyplex","POLYPLEX.NS","2650","1169.65","India"
"281","Strides Pharma","STAR.NS","2647","1559.45","India"
"282","Subros","SUBROS.NS","2647","680","India"
"283","Century Textiles and Industries","CENTURYTEX.NS","2640","2718.95","India"
"284","Rain Industries","RAIN.NS","2640","172.98","India"
"285","Ratnamani Metals &amp; Tubes","RATNAMANI.NS","2637","3534.9","India"
"286","Adani Wilmar","AWL.NS","2600","337.45","India"
"287","United Spirits","UNITDSPR.BO","2598","1520.3","India"
