"Rank","Name","Symbol","earnings_ttm","price (INR)","country"
"85","Bank of Maharashtra","MAHABANK.NS","519607000","54.24","India"
"86","Nestlé India","NESTLEIND.NS","519121000","2511.8","India"
"87","Torrent Power","TORNTPOWER.NS","496559000","1886.4","India"
"88","Jindal Stainless","JSL.NS","491725000","754.45","India"
"89","Steel Authority of India","SAIL.NS","464966000","134.03","India"
"90","IDFC FIRST Bank","IDFCFIRSTB.NS","445853000","72.37","India"
"91","Chennai Petroleum","CHENNPETRO.NS","436646000","909","India"
"92","DMart","DMART.NS","434389000","4572.7","India"
"93","Biocon","BIOCON.NS","415862000","346.15","India"
"94","Prestige Group","PRESTIGE.NS","414839000","1854.5","India"
"95","Tech Mahindra","TECHM.NS","412257000","1647.05","India"
"96","Bandhan Bank","BANDHANBNK.NS","408335000","210.26","India"
"97","Siemens India","SIEMENS.NS","399837000","7749.9","India"
"98","Adani Energy Solutions","ADANIENSOL.NS","393896000","976.8","India"
"99","BOSCH India","BOSCHLTD.NS","393006000","38486.8","India"
"100","SBI Card","SBICARD.NS","388293000","733.75","India"
"101","Varun Beverages","VBL.NS","388093000","592.35","India"
"102","Bombay Burmah","BBTC.NS","386234000","2643.85","India"
"103","Lupin Limited","LUPIN.NS","374319000","2224.5","India"
"104","Madras Rubber Factory","MRF.NS","373642000","132198","India"
"105","Britannia Industries","BRITANNIA.NS","373476000","5978.5","India"
"106","NLC India","NLCINDIA.NS","371154000","266.1","India"
"107","National Aluminum &amp; Alloy","NATIONALUM.NS","367325000","222.92","India"
"108","Oberoi Realty","OBEROIRLTY.NS","364941000","1919.15","India"
"109","Hudco","HUDCO.NS","351762000","223.1","India"
"110","Apollo Tyres","APOLLOTYRE.NS","342689000","505.05","India"
"111","Indian Overseas Bank","IOB.NS","340834000","54.29","India"
"112","TVS Motor","TVSMOTOR.NS","337954000","2794.35","India"
"113","ICICI Lombard","ICICIGI.NS","337256000","2067.35","India"
"114","Shree Cement","SHREECEM.NS","336374000","24337","India"
"115","Torrent Pharmaceuticals","TORNTPHARM.NS","336358000","3497.05","India"
"116","ACC","ACC.NS","334041000","2312.45","India"
"117","ICICI Securities","ISEC.NS","314602000","829.45","India"
"118","Sun TV Network","SUNTV.NS","305736000","783.85","India"
"119","Dabur","DABUR.NS","303337000","570.85","India"
"120","Pidilite","PIDILITIND.NS","300742000","3110.2","India"
"121","Indraprastha Gas","IGL.NS","299921000","540.55","India"
"122","Mankind Pharma","MANKIND.NS","297226000","2792.55","India"
"123","Central Bank of India","CENTRALBK.NS","294306000","56.96","India"
"124","Lodha Group","LODHA.NS","293254000","1169.85","India"
"125","IIFL Finance","IIFL.NS","286943000","469.55","India"
"126","Alkem Laboratories","ALKEM.NS","286342000","6191.3","India"
"127","Polycab India","POLYCAB.NS","283577000","7446.85","India"
