"Rank","Name","Symbol","operating_margin_ttm","price (INR)","country"
"294","MakeMyTrip","MMYT","1236","8490.2293","India"
"295","Bharat Forge","BHARATFORG.NS","1220","1492.35","India"
"296","MM Forgings","MMFL.NS","1213","571.25","India"
"297","Cantabil Retail India","CANTABIL.NS","1213","237.14","India"
"298","Kajaria Ceramics","KAJARIACER.NS","1212","1408","India"
"299","Madras Rubber Factory","MRF.NS","1207","132198","India"
"300","Chambal Fertilisers","CHAMBLFERT.NS","1206","497.5","India"
"301","Oil &amp; Natural Gas","ONGC.NS","1205","292.55","India"
"302","Suzlon","SUZLON.NS","1201","74.39","India"
"303","KCP Limited","KCP.NS","1192","237.45","India"
"304","Nerolac Paints","KANSAINER.NS","1179","288.75","India"
"305","Mahindra &amp; Mahindra","M&M.NS","1170","3134.35","India"
"306","India Nippon Electricals","INDNIPPON.NS","1170","705.6","India"
"307","Jindal Stainless (Hisar)","JSLHISAR.NS","1168","570","India"
"308","Ramkrishna Forgings","RKFORGE.NS","1159","999.3","India"
"309","Tata Communications","TATACOMM.NS","1156","1963.75","India"
"310","Federal-Mogul Goetze","FMGOETZE.NS","1155","419.05","India"
"311","Alembic Pharmaceuticals","APLLTD.NS","1154","1171.7","India"
"312","Apollo Tyres","APOLLOTYRE.NS","1136","505.05","India"
"313","Power Mech Projects","POWERMECH.NS","1129","3108.4","India"
"314","GAIL","GAIL.NS","1125","229.4","India"
"315","Monte Carlo Fashions","MONTECARLO.NS","1121","840.1","India"
"316","Amara Raja Batteries","ARE&M.NS","1121","1406.9","India"
"317","Kingfa Science & Technology","KINGFA.NS","1119","3333.45","India"
"318","Reliance Industries","RELIANCE.NS","1119","2744.2","India"
"319","Gujarat Fluorochemicals","FLUOROCHEM.NS","1118","4693.85","India"
"320","Bharti Airtel","BHARTIARTL.NS","1115","1687.4","India"
"321","Time Technoplast","TIMETECHNO.NS","1096","394.85","India"
"322","East India Distilleries Parry","EIDPARRY.NS","1095","812.9","India"
"323","Thermax","THERMAX.NS","1094","5155.25","India"
"324","Hindustan Construction Company","HCC.NS","1087","42.26","India"
"325","HEG","HEG.NS","1084","2458.85","India"
"326","Jindal Stainless","JSL.NS","1083","754.45","India"
"327","Larsen &amp; Toubro","LT.NS","1078","3482.55","India"
"328","Southern Petrochemical Industries Corp","SPIC.NS","1077","84.54","India"
"329","Sheela Foam","SFL.NS","1072","913.1","India"
"330","Tube Investments of India","TIINDIA.NS","1071","4225.65","India"
"331","Heidelbergcement India","HEIDELBERG.NS","1061","224.39","India"
"332","Tata Consumer Products","TATACONSUM.NS","1052","1113.1","India"
"333","Gujarat Gas","GUJGASLTD.NS","1051","600.1","India"
"334","Raymond","RAYMOND.NS","1050","1603.45","India"
"335","Nelco","NELCO.NS","1047","1002.25","India"
"336","Schneider Electric Infrastructure","SCHNEIDER.NS","1043","860.45","India"
"337","Galaxy Surfactants","GALAXYSURF.NS","1038","2931.1","India"
"338","Greenpanel Industries","GREENPANEL.NS","1037","398.9","India"
"339","KEI Industries","KEI.NS","1037","4575.95","India"
"340","Aarti Drugs","AARTIDRUGS.NS","1030","509.9","India"
"341","Radico Khaitan","RADICO.NS","1029","2150.7","India"
"342","Capacit'e Infraprojects","CAPACITE.NS","1025","396.4","India"
"343","Orient Cement","ORIENTCEM.NS","1022","295.75","India"
"344","Automotive Axles","AUTOAXLES.NS","1021","1881.2","India"
"345","Adani Enterprises","ADANIENT.NS","1020","3137.2","India"
"346","Tide Water Oil","TIDEWATER.NS","1019","2140.4","India"
"347","Nazara Technologies","NAZARA.NS","1016","923.4","India"
"348","BEML","BEML.NS","1014","3791.8","India"
"349","Modern Dairies Limited","MODAIRY.BO","1013","56.06","India"
"350","Atul","ATUL.NS","1006","7888.8","India"
"351","Titan Company","TITAN.NS","1000","3474.4","India"
"352","Imagicaaworld Entertainment","IMAGICAA.NS","999","79.54","India"
"353","Transport Corporation of India","TCI.NS","998","1037.75","India"
"354","Grasim Industries","GRASIM.NS","997","2725.55","India"
"355","Force Motors","FORCEMOT.NS","991","7099.9","India"
"356","Havells India","HAVELLS.NS","987","1938.5","India"
"357","Ashiana Housing","ASHIANA.NS","987","308.25","India"
"358","Ashoka Buildcon","ASHOKA.NS","968","251.64","India"
"359","Cigniti Technologies","CIGNITITEC.NS","968","1390.45","India"
"360","Apollo Hospitals","APOLLOHOSP.NS","965","6983.4","India"
"361","Star Health and Allied Insurance Company","STARHEALTH.NS","965","547.6","India"
"362","Prince Pipes And Fittings","PRINCEPIPE.NS","961","546.95","India"
"363","Petronet LNG","PETRONET.NS","955","355.15","India"
"364","CenturyPly","CENTURYPLY.NS","951","904.9","India"
"365","Jubilant Pharmova","JUBLPHARMA.NS","948","1146.35","India"
"366","Greenlam Industries","GREENLAM.NS","937","509.15","India"
"367","Trident","TRIDENT.NS","935","35.3","India"
"368","UNO Minda","UNOMINDA.NS","927","985.75","India"
"369","Craftsman Automation","CRAFTSMAN.NS","921","6228.1","India"
"370","Tata Power","TATAPOWER.NS","919","461.15","India"
"371","Endurance Technologies","ENDURANCE.NS","907","2343.35","India"
"372","Prakash Industries","PRAKASH.NS","906","169.26","India"
"373","Mangalam Cement","MANGLMCEM.NS","902","862.3","India"
"374","Dhampur Sugar Mills","DHAMPURSUG.NS","901","213.59","India"
"375","Aptech","APTECHT.NS","900","214.83","India"
"376","Ramco Cements","RAMCOCEM.NS","899","861.55","India"
"377","Olectra Greentech","OLECTRA.NS","897","1752.1","India"
"378","Rane Brake Lining","RBL.NS","887","1159.9","India"
"379","Hindalco Industries","HINDALCO.NS","876","747.35","India"
"380","Relaxo Footwear","RELAXO.NS","868","796.9","India"
"381","Hikal","HIKAL.NS","868","340","India"
"382","Tamil Nadu Newsprint and Papers Limited","TNPL.NS","843","206.07","India"
"383","Rupa Company","RUPA.NS","841","287.35","India"
"384","Lux Industries","LUXIND.NS","840","2073.15","India"
"385","V-Guard Industries","VGUARD.NS","834","440.1","India"
"386","Jubilant FoodWorks","JUBLFOOD.NS","826","629.7","India"
"387","Jindal Worldwide","JINDWORLD.NS","825","313.9","India"
"388","Crompton Greaves Consumer Electricals","CROMPTON.NS","823","430.85","India"
"389","TVS Motor","TVSMOTOR.NS","818","2794.35","India"
"390","Welspun India","WELSPUNIND.NS","817","158.95","India"
"391","Jain Irrigation Systems","JISLDVREQS.NS","815","33.92","India"
"392","Piramal Pharma","PPLPHARMA.NS","814","221.3","India"
"393","Infibeam Avenues","INFIBEAM.NS","813","28.79","India"
"394","Exide Industries","EXIDEIND.NS","809","530.5","India"
"395","Greenply","GREENPLY.NS","808","378.5","India"
"396","Suprajit Engineering","SUPRAJIT.NS","807","505.4","India"
"397","Dollar Industries","DOLLAR.NS","797","545.55","India"
