"Rank","Name","Symbol","pe_ratio_ttm","price (INR)","country"
"293","Asahi India Glass","ASAHIINDIA.NS","50.757","735.5","India"
"294","Quess","QUESS.NS","51.2996","727.1","India"
"295","Praj Industries","PRAJIND.NS","51.3085","772.4","India"
"296","CenturyPly","CENTURYPLY.NS","51.9858","904.9","India"
"297","Sun Pharmaceutical","SUNPHARMA.NS","52.4552","1901.95","India"
"298","Sumitomo Chemical
 India","SUMICHEM.NS","52.4929","545.1","India"
"299","JTEKT India","JTEKTINDIA.NS","52.6278","175.94","India"
"300","SML Isuzu","SMLISUZU.NS","52.7049","1835.4","India"
"301","Tata Communications","TATACOMM.NS","52.8374","1963.75","India"
"302","Escorts Kubota","ESCORTS.NS","53.027","3937.95","India"
"303","Ramkrishna Forgings","RKFORGE.NS","54.0422","999.3","India"
"304","Elgi Equipments","ELGIEQUIP.NS","54.3202","671.6","India"
"305","Indian Energy Exchange","IEX.NS","54.7177","204.59","India"
"306","Indian Overseas Bank","IOB.NS","54.7366","54.29","India"
"307","Balkrishna Industries","BALKRISIND.NS","54.7464","3023.4","India"
"308","Voltamp Transformers","VOLTAMP.NS","54.7708","13599","India"
"309","Shree Cement","SHREECEM.NS","54.8874","24337","India"
"310","Kajaria Ceramics","KAJARIACER.NS","55.2854","1408","India"
"311","Infibeam Avenues","INFIBEAM.NS","55.4376","28.79","India"
"312","Britannia Industries","BRITANNIA.NS","55.7616","5978.5","India"
"313","CRISIL","CRISIL.NS","55.8537","4711.85","India"
"314","IndiaMART","INDIAMART.NS","56.2524","3011.4","India"
"315","Lux Industries","LUXIND.NS","56.302","2073.15","India"
"316","Asian Paints","ASIANPAINT.NS","56.4221","3037.2","India"
"317","Dabur","DABUR.NS","56.555","570.85","India"
"318","UltraTech Cement","ULTRACEMCO.NS","56.7109","11421.3","India"
"319","ICICI Lombard","ICICIGI.NS","56.7392","2067.35","India"
"320","Apar Industries","APARINDS.NS","56.7747","10428.4","India"
"321","Bata India","BATAINDIA.NS","56.8913","1406.1","India"
"322","NBCC India","NBCC.NS","57.6972","114.06","India"
"323","Abbott India","ABBOTINDIA.NS","57.8263","28808.2","India"
"324","APL Apollo","APLAPOLLO.NS","57.9457","1571.7","India"
"325","Vesuvius India","VESUVIUS.NS","58.0416","5345.35","India"
"326","Atul","ATUL.NS","58.2466","7888.8","India"
"327","Crompton Greaves Consumer Electricals","CROMPTON.NS","58.6581","430.85","India"
"328","Bodal Chemicals","BODALCHEM.NS","58.9259","82.91","India"
"329","Carborundum Universal","CARBORUNIV.NS","59.2906","1467.95","India"
"330","Endurance Technologies","ENDURANCE.NS","59.6542","2343.35","India"
"331","Tata Elxsi","TATAELXSI.NS","59.7655","7675.15","India"
"332","Bharat Electronics","BEL.NS","59.9612","285.9","India"
"333","RPG Life Sciences","RPGLIFE.NS","60.4434","2806.9","India"
"334","ESAB India","ESABINDIA.NS","60.6715","6151.75","India"
"335","BLS International","BLS.NS","60.7725","362.7","India"
"336","Berger Paints","BERGEPAINT.NS","61.048","571.55","India"
"337","Bharat Dynamics","BDL.NS","61.7658","1221.95","India"
"338","Hathway","HATHWAY.NS","61.8039","20.09","India"
"339","Hindustan Unilever","HINDUNILVR.NS","62.0506","2783.2","India"
"340","Global Health Limited (Medanta)","MEDANTA.NS","62.5207","1024.7","India"
"341","Alkem Laboratories","ALKEM.NS","63.3122","6191.3","India"
"342","KCP Limited","KCP.NS","63.4852","237.45","India"
"343","Greenply","GREENPLY.NS","63.6226","378.5","India"
"344","Coforge","COFORGE.NS","64.248","7380.6","India"
"345","JSW Energy","JSWENERGY.NS","64.311","706.7","India"
"346","Orient Electric","ORIENTELEC.NS","64.3762","236.46","India"
"347","Schaeffler India","SCHAEFFLER.NS","64.964","3898.35","India"
"348","Vidhi Specialty Food","VIDHIING.NS","66.5482","480.55","India"
"349","Ingersoll Rand India","INGERRAND.NS","66.9885","4434.75","India"
"350","Hester Biosciences","HESTERBIO.NS","67.2952","2348.65","India"
"351","Blue Dart Express","BLUEDART.NS","67.4075","8473.2","India"
"352","Ramco Cements","RAMCOCEM.NS","67.4698","861.55","India"
"353","Marico","MARICO.NS","67.7465","685.5","India"
"354","Polycab India","POLYCAB.NS","68.1146","7446.85","India"
"355","Laurus Labs","LAURUSLABS.NS","68.1893","474.15","India"
"356","VIP Industries","VIPIND.NS","68.5965","547.45","India"
"357","Syngene International","SYNGENE.NS","69.3944","879.9","India"
"358","Jindal Worldwide","JINDWORLD.NS","70.0613","313.9","India"
"359","Indian Railway Catering & Tourism","IRCTC.NS","70.1703","889.2","India"
