,Name,Symbol,country,price (INR),marketcap,revenue_ttm,operating_margin_ttm,earnings_ttm,employees_count,pe_ratio_ttm
92,IndusInd Bank,INDUSINDBK.NS,India,1347.6,104977.1,3695.75,39.11,1445.63,33582,12.3147
93,Indian Overseas Bank,IOB.NS,India,54.29,102734.06,1904.19,17.89,340.83,22052,54.7366
94,Solar Industries India,SOLARINDS.NS,India,11318.4,102420.76,710.89,23.8,169.21,1781,125.232
95,ICICI Lombard,ICICIGI.NS,India,2067.35,102320.19,2722.59,12.38,337.26,13670,56.7392
96,Jindal Steel &amp; Power,JINDALSTEL.NS,India,1005.85,101774.92,6190.33,15.59,965.46,6200,34.4413
97,Suzlon,SUZLON.NS,India,74.39,101666.58,860.1,12.01,103.33,1592,186.811
98,Lupin Limited,LUPIN.NS,India,2224.5,101487.92,2452.56,15.26,374.32,20933,101.745
99,Dabur,DABUR.NS,India,570.85,101207.71,1498.41,20.24,303.34,5319,56.555
100,Indian Hotels Company,INDHOTEL.NS,India,708.55,100857.13,790.94,29.03,229.61,18359,91.1377
101,Apollo Hospitals,APOLLOHOSP.NS,India,6983.4,100410.81,2344.72,9.65,226.34,71113,146.59
102,Colgate-Palmolive India,COLPAL.NS,India,3689.65,100362.91,701.96,32.61,228.9,2221,83.9742
103,Cummins India,CUMMINSIND.NS,India,3614.15,100184.23,1074.37,26.22,281.71,3161,70.7821
104,Indus Towers,INDUSTOWER.NS,India,378.5,99844.14,3470.56,30.8,1068.82,3163,35.5029
105,Oil India,OIL.NS,India,584.55,95316.14,4127.2,28.22,1164.7,6256,8.42841
106,Canara Bank,CANBK.NS,India,104.06,94389.19,8134.19,31.15,2533.98,84978,1.33249
107,GMR Group,GMRINFRA.NS,India,88.42,93383.9,1097.15,24.25,266.14,40,-141.406
108,MakeMyTrip,MMYT,India,8490.2293,93207.43,840.31,12.36,103.87,4576,418.983
109,Max Healthcare Institute,MAXHEALTH.NS,India,939.8,91360.96,679.98,24.41,166.06,15000,75.9452
110,NHPC Limited,NHPC.NS,India,90.92,91329.13,1103.41,51.29,565.94,5092,22.911
111,Torrent Power,TORNTPOWER.NS,India,1886.4,90663.59,3433.55,14.46,496.56,7603,41.5628
112,Dixon Technologies,DIXON.NS,India,15143.6,90614.46,2520.97,3.2,80.86,1755,317.502
113,IDBI Bank,IDBI.NS,India,83.28,89545.99,1969.92,39.4,776.58,17047,18.4228
114,Marico,MARICO.NS,India,685.5,88659.15,1169.26,20.27,237.11,1657,67.7465
115,Shree Cement,SHREECEM.NS,India,24337.0,87809.79,2419.22,13.9,336.37,6451,54.8874
116,Union Bank of India,UNIONBANK.NS,India,114.12,87114.76,6721.29,24.24,1630.41,75866,6.45616
117,Aurobindo Pharma,AUROPHARMA.NS,India,1495.85,86879.27,3526.2,17.75,625.99,15431,43.3093
118,Hindustan Petroleum,HINDPETRO.NS,India,395.5,84155.28,52065.13,3.42,1786.59,9065,6.58673
119,Godrej Properties,GODREJPROP.NS,India,3014.25,83814.84,326.9,52.18,170.6,3015,123.319
120,Adani Total Gas,ATGL.NS,India,757.35,83327.43,544.45,20.43,111.26,549,143.048
121,Persistent Systems,PERSISTENT.NS,India,5469.55,83316.56,1229.05,15.52,190.8,0,42.4173
122,Tube Investments of India,TIINDIA.NS,India,4225.65,81756.19,2041.06,10.71,218.63,3233,78.1001
123,Prestige Group,PRESTIGE.NS,India,1854.5,79878.87,967.48,42.86,414.84,9024,72.3391
124,Muthoot Finance,MUTHOOTFIN.NS,India,1945.45,78108.85,1243.43,60.19,748.58,26716,19.9997
125,PB Fintech,POLICYBZR.NS,India,1639.05,74346.33,454.07,4.21,19.13,11694,-241.423
126,Kalyan Jewellers India,KALYANKJIL.NS,India,720.3,74234.84,2356.94,5.84,137.84,0,120.277
127,Alkem Laboratories,ALKEM.NS,India,6191.3,74026.27,1501.25,19.07,286.34,16966,63.3122
128,Bharti Hexacom,BHARTIHEXA.NS,India,1445.4,72270.0,801.33,19.85,159.12,0,128.55
129,Indian Railway Catering & Tourism,IRCTC.NS,India,889.2,71164.19,526.8,36.75,193.62,1363,70.1703
130,Indian Bank,INDIANB.NS,India,524.55,70675.24,3910.68,27.56,1078.11,41699,9.30567
131,Oberoi Realty,OBEROIRLTY.NS,India,1919.15,70007.14,599.16,60.91,364.94,934,47.2191
132,SBI Card,SBICARD.NS,India,733.75,69799.29,1589.34,24.43,388.29,3907,29.5853
133,SRF Limited,SRF.NS,India,2348.75,69622.82,1563.5,14.25,222.9,7171,39.3938
134,Linde India,LINDEINDIA.NS,India,8147.75,69487.43,324.24,22.09,71.65,242,156.053
135,Bharat Forge,BHARATFORG.NS,India,1492.35,69482.17,1833.5,12.2,223.84,4079,115.416
136,PI Industries,PIIND.NS,India,4523.6,68623.46,932.91,26.37,246.08,3079,49.6557
137,General Insurance Corporation of India,GICRE.NS,India,390.4,68500.76,5883.96,17.07,1004.47,494,9.34455
138,National Mineral Development Corporation,NMDC.NS,India,233.68,68482.49,2560.14,39.58,1013.49,5539,11.5161
139,Hitachi Energy India,POWERINDIA.NS,India,15899.2,67383.51,646.47,5.19,33.58,0,1217.1
