"Rank","Name","Symbol","revenue_ttm","price (INR)","country"
"243","Bharti Hexacom","BHARTIHEXA.NS","801334930","1445.4","India"
"244","Aarti Industries","AARTIIND.NS","796565332","529.2","India"
"245","Indian Hotels Company","INDHOTEL.NS","790942345","708.55","India"
"246","Polyplex","POLYPLEX.NS","772173363","1169.65","India"
"247","Mahanagar Gas","MGL.NS","770522057","1834","India"
"248","Kirloskar Ferrous Industries","KIRLFER.NS","744056754","460.05","India"
"249","Alembic Pharmaceuticals","APLLTD.NS","742909294","1171.7","India"
"250","DLF","DLF.NS","742885990","846.6","India"
"251","Jubilant FoodWorks","JUBLFOOD.NS","742681173","629.7","India"
"252","Black Box","BBOX.NS","736411328","484.35","India"
"253","IIFL Finance","IIFL.NS","735469671","469.55","India"
"254","PVR INOX","PVRINOX.NS","719642134","1620.5","India"
"255","Abbott India","ABBOTINDIA.NS","711433846","28808.2","India"
"256","Solar Industries India","SOLARINDS.NS","710887624","11318.4","India"
"257","Gland Pharma","GLAND.NS","703252273","1698.55","India"
"258","Colgate-Palmolive India","COLPAL.NS","701961030","3689.65","India"
"259","Jain Irrigation Systems","JISLDVREQS.NS","699474678","33.92","India"
"260","Astral Poly Technik","ASTRAL.NS","687811351","1897.45","India"
"261","Motilal Oswal Financial Services","MOTILALOFS.NS","680159036","808.55","India"
"262","Max Healthcare Institute","MAXHEALTH.NS","679975229","939.8","India"
"263","ICICI Securities","ISEC.NS","679778304","829.45","India"
"264","Karur Vysya Bank","KARURVYSYA.NS","678310610","199.04","India"
"265","Mahindra Logistics","MAHLOG.NS","676241454","500.75","India"
"266","Godawari Power &amp; Ispat","GPIL.NS","655883103","190.9","India"
"267","Hitachi Energy India","POWERINDIA.NS","646465528","15899.2","India"
"268","Religare","RELIGARE.NS","646034496","275","India"
"269","Blue Dart Express","BLUEDART.NS","645069717","8473.2","India"
"270","JBM Auto","JBMA.NS","625198144","1774.55","India"
"271","Castrol India","CASTROLIND.NS","620630805","227.82","India"
"272","Time Technoplast","TIMETECHNO.NS","617462029","394.85","India"
"273","KPIT Technologies","KPITTECH.NS","616892677","1789.05","India"
"274","Narayana Hrudayalaya","NH.NS","615381097","1221.2","India"
"275","Sterlite Technologies","STLTECH.NS","611286302","120.66","India"
"276","Alok Industries","ALOKINDS.NS","610826540","25.25","India"
"277","V-Guard Industries","VGUARD.NS","610334636","440.1","India"
"278","Finolex Cables","FINCABLES.NS","605134266","1298.15","India"
"279","Ratnamani Metals &amp; Tubes","RATNAMANI.NS","604602119","3534.9","India"
"280","Laurus Labs","LAURUSLABS.NS","602056941","474.15","India"
"281","Oberoi Realty","OBEROIRLTY.NS","599161584","1919.15","India"
"282","Shankara Building","SHANKARA.NS","597470964","516.1","India"
"283","Zensar","ZENSARTECH.NS","595803477","694.95","India"
"284","Wheels India","WHEELS.NS","592078355","743.55","India"
"285","South Indian Bank","SOUTHBANK.NS","584071533","23.86","India"
"286","Atul","ATUL.NS","577230718","7888.8","India"
"287","Bayer Crop Science","BAYERCROP.NS","574409143","6713.85","India"
"288","Granules India","GRANULES.NS","562412997","603.85","India"
"289","Bajaj Electricals","BAJAJELEC.NS","560255654","900.9","India"
"290","Karnataka Bank","KTKBANK.NS","559623222","228.2","India"
"291","Kajaria Ceramics","KAJARIACER.NS","555598903","1408","India"
"292","Carborundum Universal","CARBORUNIV.NS","554817105","1467.95","India"
"293","IFB Industries","IFBIND.NS","554346715","1799.5","India"
"294","Page Industries","PAGEIND.NS","551340123","45370.2","India"
"295","Hinduja Global Solutions","HGS.NS","549182685","788","India"
"296","AIA Engineering","AIAENG.NS","547051946","4074.35","India"
"297","SKF India","SKFINDIA.NS","545573393","5413.2","India"
"298","Adani Total Gas","ATGL.NS","544445590","757.35","India"
"299","Craftsman Automation","CRAFTSMAN.NS","544364651","6228.1","India"
"300","Tamil Nadu Newsprint and Papers Limited","TNPL.NS","540045016","206.07","India"
"301","Knr Constructions","KNRCON.NS","532225122","318.4","India"
"302","Indian Railway Catering & Tourism","IRCTC.NS","526801839","889.2","India"
"303","Asahi India Glass","ASAHIINDIA.NS","524213136","735.5","India"
"304","Power Mech Projects","POWERMECH.NS","522074984","3108.4","India"
"305","Jindal Poly Films","JINDALPOLY.NS","519452343","817.55","India"
"306","Century Textiles and Industries","CENTURYTEX.NS","515935730","2718.95","India"
"307","Finolex Industries","FINPIPE.NS","513632817","299.45","India"
"308","Filatex India","FILATEX.NS","512776352","57.86","India"
"309","Gujarat Fluorochemicals","FLUOROCHEM.NS","509906701","4693.85","India"
"310","Sun TV Network","SUNTV.NS","509653869","783.85","India"
"311","West Coast Paper Mills","WSTCSTPAPR.NS","509546600","611.25","India"
"312","Natco Pharma","NATCOPHARM.NS","506694454","1436.25","India"
"313","Strides Pharma","STAR.NS","505260602","1559.45","India"
"314","Radico Khaitan","RADICO.NS","503402432","2150.7","India"
"315","Procter &amp; Gamble India","PGHH.NS","503267972","16634.9","India"
"316","3M India","3MINDIA.NS","502285490","33995","India"
"317","BEML","BEML.NS","496117557","3791.8","India"
"318","Transport Corporation of India","TCI.NS","493957871","1037.75","India"
"319","Honeywell Automation India","HONAUT.NS","490215526","50303.6","India"
"320","Phoenix Mills","PHOENIXLTD.NS","488726158","1628.95","India"
"321","Ramkrishna Forgings","RKFORGE.NS","488339087","999.3","India"
"322","Indorama Synthetics","INDORAMA.NS","486045496","47.46","India"
"323","TANLA","TANLA.NS","482497728","858.1","India"
"324","CenturyPly","CENTURYPLY.NS","480257322","904.9","India"
"325","Devyani International","DEVYANI.NS","468991980","182.01","India"
"326","Gujarat Alkalies and Chemicals","GUJALKALI.NS","464749113","875.3","India"
"327","Punjab &amp; Sind Bank","PSB.NS","460667686","52.16","India"
"328","Prakash Industries","PRAKASH.NS","459953388","169.26","India"
"329","Skipper Limited","SKIPPER.NS","458444152","548.1","India"
"330","Mangalore Chemicals and Fertilizers","MANGCHEFER.NS","457553381","140.04","India"
"331","Galaxy Surfactants","GALAXYSURF.NS","455869662","2931.1","India"
"332","PB Fintech","POLICYBZR.NS","454074932","1639.05","India"
"333","ZF Commercial Vehicle Control Systems India","ZFCVINDIA.NS","451740187","15304.8","India"
"334","Texmaco Rail &amp; Engineering","TEXRAIL.NS","448699137","196.37","India"
"335","Syrma SGS Technology","SYRMA.NS","445603604","416.85","India"
"336","Indiabulls Housing Finance","IBULHSGFIN.NS","442212250","164.4","India"
"337","Emami","EMAMILTD.NS","439231103","730.25","India"
"338","Embassy Office Parks REIT","EMBASSY.BO","438811934","387.76","India"
"339","Sify","SIFY","438283101","284.1566","India"
"340","Tata Elxsi","TATAELXSI.NS","435602424","7675.15","India"
"341","Tejas Networks","TEJASNET.NS","434706130","1189.5","India"
"342","Sandhar","SANDHAR.NS","432772687","574.45","India"
"343","India Glycols","INDIAGLYCO.NS","425968553","1470.5","India"
"344","Prime Focus","PFOCUS.NS","422267978","150.84","India"
"345","Gabriel India","GABRIEL.NS","422264160","458.35","India"
"346","The Tinplate Company Of India","TINPLATE.NS","419550102","430.5","India"
"347","Bata India","BATAINDIA.NS","415825661","1406.1","India"
"348","RattanIndia Power","RTNPOWER.NS","413996996","16.44","India"
"349","Hyderabad Industries Limited","HIL.NS","413960182","2848","India"
"350","Rane Holdings","RANEHOLDIN.NS","410132013","1989.7","India"
"351","Gulf Oil Lubricants","GULFOILLUB.NS","406195979","1313.45","India"
"352","Praj Industries","PRAJIND.NS","405781079","772.4","India"
"353","Global Health Limited (Medanta)","MEDANTA.NS","403771008","1024.7","India"
"354","Syngene International","SYNGENE.NS","402347798","879.9","India"
"355","GTPL Hathway","GTPL.NS","393954288","161.74","India"
"356","Elgi Equipments","ELGIEQUIP.NS","393727629","671.6","India"
"357","Poonawalla Fincorp","POONAWALLA.NS","385003506","380.7","India"
"358","CRISIL","CRISIL.NS","382825249","4711.85","India"
"359","Subros","SUBROS.NS","382637595","680","India"
"360","Infibeam Avenues","INFIBEAM.NS","381980866","28.79","India"
"361","Shriram Pistons &amp; Rings","SHRIPISTON.NS","379779367","2210.3","India"
"362","Parag Milk Foods","PARAGMILK.NS","377831478","227.29","India"
"363","Sheela Foam","SFL.NS","377273891","913.1","India"
"364","Mastek","MASTEK.NS","377266743","2709.8","India"
"365","Vaibhav Global","VAIBHAVGBL.NS","374413869","300.65","India"
"366","Nilkamal","NILKAMAL.NS","374095017","1936.25","India"
"367","Engineers India","ENGINERSIN.NS","370567006","200.71","India"
"368","Hudco","HUDCO.NS","367056580","223.1","India"
"369","Orient Cement","ORIENTCEM.NS","365874638","295.75","India"
"370","sterling &amp; wilson solar","SWSOLAR.NS","365348396","566.4","India"
"371","eClerx Services","ECLERX.NS","362922363","3090.55","India"
"372","Action Construction Equipment","ACE.NS","359724076","1343.85","India"
"373","Timken India","TIMKEN.NS","355549053","3733.3","India"
"374","Suprajit Engineering","SUPRAJIT.NS","354281809","505.4","India"
"375","Sumitomo Chemical
 India","SUMICHEM.NS","352074283","545.1","India"
"376","VRL Logistics","VRLLOG.NS","351090149","575.35","India"
"377","Relaxo Footwear","RELAXO.NS","350971971","796.9","India"
"378","Graphite India","GRAPHITE.NS","348747415","579.05","India"
"379","VA Tech Wabag","WABAG.NS","348214146","1562.45","India"
"380","Himatsingka Seide","HIMATSEIDE.NS","347543716","147.55","India"
"381","City Union Bank","CUB.NS","346770688","153.9","India"
"382","Orient Electric","ORIENTELEC.NS","338664677","236.46","India"
"383","Gokaldas Exports","GOKEX.NS","335643892","932.15","India"
"384","KCP Limited","KCP.NS","334641881","237.45","India"
"385","Lumax Industries","LUMAXIND.NS","334208034","2466.9","India"
"386","SJVN","SJVN.NS","333183954","120.19","India"
"387","Godrej Properties","GODREJPROP.NS","326902308","3014.25","India"
"388","Grindwell Norton","GRINDWELL.NS","325028425","2416.5","India"
"389","Indian Metals &amp; Ferro Alloys","IMFA.NS","324629769","706.75","India"
"390","Linde India","LINDEINDIA.NS","324243744","8147.75","India"
"391","Ola Electric Mobility","OLAELEC.NS","316743008","90.2","India"
"392","Prince Pipes And Fittings","PRINCEPIPE.NS","314502888","546.95","India"
"393","Confidence Petroleum","CONFIPET.NS","312283289","81.39","India"
"394","Info Edge","NAUKRI.NS","310591374","8363.3","India"
"395","Somany Ceramics","SOMANYCERA.NS","310010708","720.25","India"
"396","Sanofi India Limited","SANOFI.NS","308663603","6915.1","India"
"397","Cosmo First","COSMOFIRST.NS","308465475","766.15","India"
"398","Sudarshan Chemical","SUDARSCHEM.NS","305713049","1201.1","India"
"399","EIH Limited","EIHOTEL.NS","304897964","430.2","India"
"400","Puravankara","PURVA.NS","302496633","394.45","India"
"401","Gujarat Mineral Development","GMDCLTD.NS","301913522","340","India"
"402","INEOS Styrolution","INEOSSTYRO.NS","298877595","807.8","India"
"403","Zydus Wellness","ZYDUSWELL.NS","294665676","1956.25","India"
"404","Huhtamaki India","HUHTAMAKI.NS","293438811","400.2","India"
"405","Aarti Drugs","AARTIDRUGS.NS","290885754","509.9","India"
"406","Spandana Sphoorty Financial","SPANDANA.NS","290087779","538.15","India"
"407","RITES","RITES.NS","287529214","313.6","India"
"408","Metro Brands","METROBRAND.NS","282165800","1225.6","India"
"409","JCI Hitachi India","JCHAC.NS","281697021","2560.85","India"
"410","KSB ltd","KSB.NS","281050053","997.8","India"
"411","Greenlam Industries","GREENLAM.NS","280548092","509.15","India"
"412","Lux Industries","LUXIND.NS","279596050","2073.15","India"
